Mount & Blade II: Bannerlord,Win,64206,87,Very Positive,"Mar 30, 2020",49.99,-10,44.99,Early Access,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_240_150_1,"Early Access, Medieval, Strategy, Open World, RPG, War, Multiplayer, Sandbox, Action, Singleplayer, Moddable, Simulation, Adventure, Horses, Character Customization, Realistic, Third Person, Historical, First-Person, Great Soundtrack"
Counter-Strike: Global Offensive,"Win, Mac, Linux",4173805,87,Very Positive,"Aug 21, 2012",Free to Play,,0,FPS,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_240_150_1,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Fast-Paced, Realistic, Moddable"
Planet Zoo,Win,21503,87,Very Positive,"Nov 5, 2019",44.99,-25,33.74,Simulation,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_240_150_1,"Simulation, Strategy, Building, Management, Sandbox, Singleplayer, Multiplayer, Family Friendly, Open World, Funny, Cats, Horses, Dog, Cute, Casual, Great Soundtrack, Co-op, Nature, Atmospheric, Realistic"
Sid Meier’s Civilization® VI,"Win, Mac, Linux",68430,79,Mostly Positive,"Oct 20, 2016",59.99,-70,17.99,Strategy,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_240_150_1,"Strategy, Turn-Based Strategy, Historical, Multiplayer, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, Tactical, Great Soundtrack, City Builder, Moddable, Online Co-Op, Co-op, Building, Management, Hex Grid, Atmospheric"
Tom Clancy's Rainbow Six® Siege,Win,537978,88,Very Positive,"Dec 1, 2015",19.99,,0,FPS,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"FPS, Hero Shooter, Multiplayer, Tactical, Shooter, Team-Based, Action, First-Person, Competitive, Co-op, Strategy, Realistic, Online Co-Op, Destruction, Physics, Psychological Horror, Atmospheric, Massively Multiplayer, Singleplayer, Casual"
Tabletop Simulator,"Win, Mac, Linux, VR Supported",14996,95,Overwhelmingly Positive,"Jun 5, 2015",19.99,,0,Tabletop,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_240_150_1,"Tabletop, Board Game, Simulation, Multiplayer, Sandbox, Card Game, Physics, Casual, Strategy, Moddable, Indie, RPG, VR, Online Co-Op, Chess, Co-op, Masterpiece, Singleplayer, Relaxing, Comedy"
Stellaris,"Win, Mac, Linux",53554,84,Very Positive,"May 9, 2016",39.99,,0,Space,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_240_150_1,"Space, Strategy, Grand Strategy, Sci-fi, 4X, Real-Time with Pause, Exploration, Multiplayer, RTS, Singleplayer, Simulation, Replay Value, Great Soundtrack, Moddable, Sandbox, Atmospheric, Open World, Story Rich, Building, Adventure"
Black Desert Online,Win,22860,73,Mostly Positive,"May 24, 2017",9.99,-50,4.99,MMORPG,https://store.steampowered.com/app/582660/Black_Desert_Online/?snr=1_7_7_240_150_1,"MMORPG, Massively Multiplayer, RPG, Open World, Character Customization, Adventure, Fantasy, Action, PvP, Multiplayer, Strategy, Simulation, Sandbox, Third Person, Hack and Slash, Co-op, Fishing, Female Protagonist, Violent, PvE"
Cities: Skylines,"Win, Mac, Linux",85632,92,Very Positive,"Mar 10, 2015",29.99,,0,City Builder,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"City Builder, Simulation, Building, Strategy, Management, Sandbox, Singleplayer, Moddable, Economy, Resource Management, Realistic, Mod, Replay Value, Casual, Family Friendly, Real-Time with Pause, Modern, Great Soundtrack, Funny, Action"
Planet Coaster,Win,28765,88,Very Positive,"Nov 17, 2016",44.99,-75,11.24,Simulation,https://store.steampowered.com/app/493340/Planet_Coaster/?snr=1_7_7_240_150_1,"Simulation, Building, Management, Sandbox, Singleplayer, Strategy, Great Soundtrack, Family Friendly, Realistic, Funny, Open World, Atmospheric, Economy, Casual, Colorful, Base Building, Multiplayer, Adventure, Action, First-Person"
Age of Empires II: Definitive Edition,Win,34985,91,Very Positive,"Nov 14, 2019",19.99,,0,Strategy,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, Multiplayer, Historical, City Builder, Singleplayer, Medieval, Classic, Masterpiece, Base Building, Remake, Resource Management, Real-Time, Co-op, Tactical, Action, 2D, Isometric, Adventure, Replay Value"
