Mount & Blade II: Bannerlord,Win,66749,87,Very Positive,"Mar 30, 2020",49.99,-10,44.99,Early Access,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_240_150_1,"Early Access, Medieval, Strategy, Open World, RPG, War, Multiplayer, Sandbox, Action, Singleplayer"
Counter-Strike: Global Offensive,"Win, Mac, Linux",4179743,87,Very Positive,"Aug 21, 2012",Free to Play,,0,FPS,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_240_150_1,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP"
Sid Meier’s Civilization® VI,"Win, Mac, Linux",68681,79,Mostly Positive,"Oct 20, 2016",59.99,-70,17.99,Strategy,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_240_150_1,"Strategy, Turn-Based Strategy, Historical, Multiplayer, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation"
Planet Zoo,Win,21623,87,Very Positive,"Nov 5, 2019",44.99,-25,33.74,Simulation,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_240_150_1,"Simulation, Strategy, Building, Management, Sandbox, Singleplayer, Multiplayer, Family Friendly, Open World, Funny"
Tom Clancy's Rainbow Six® Siege,Win,538748,88,Very Positive,"Dec 1, 2015",19.99,,0,FPS,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"FPS, Hero Shooter, Multiplayer, Tactical, Shooter, Team-Based, Action, First-Person, Competitive, Co-op"
Tabletop Simulator,"Win, Mac, Linux, VR Supported",15093,95,Overwhelmingly Positive,"Jun 5, 2015",19.99,,0,Tabletop,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_240_150_1,"Tabletop, Board Game, Simulation, Multiplayer, Sandbox, Card Game, Physics, Casual, Strategy, Moddable"
Stellaris,"Win, Mac, Linux",53629,84,Very Positive,"May 9, 2016",39.99,,0,Space,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_240_150_1,"Space, Strategy, Grand Strategy, Sci-fi, 4X, Real-Time with Pause, Exploration, Multiplayer, RTS, Singleplayer"
Planet Coaster,Win,28853,88,Very Positive,"Nov 17, 2016",44.99,-75,11.24,Simulation,https://store.steampowered.com/app/493340/Planet_Coaster/?snr=1_7_7_240_150_1,"Simulation, Building, Management, Sandbox, Singleplayer, Strategy, Great Soundtrack, Family Friendly, Realistic, Funny"
Cities: Skylines,"Win, Mac, Linux",85781,92,Very Positive,"Mar 10, 2015",29.99,,0,City Builder,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"City Builder, Simulation, Building, Strategy, Management, Sandbox, Singleplayer, Moddable, Economy, Resource Management"
Black Desert Online,Win,22897,73,Mostly Positive,"May 24, 2017",9.99,-50,4.99,MMORPG,https://store.steampowered.com/app/582660/Black_Desert_Online/?snr=1_7_7_240_150_1,"MMORPG, Massively Multiplayer, RPG, Open World, Character Customization, Adventure, Fantasy, Action, PvP, Multiplayer"
HITMAN™ 2,Win,13217,90,Very Positive,"Nov 13, 2018",,,0,Stealth,https://store.steampowered.com/app/863550/HITMAN_2/?snr=1_7_7_240_150_1,"Stealth, Assassin, Action, Singleplayer, Third Person, Multiplayer, Violent, Sandbox, Open World, Strategy"
War Thunder,"Win, Mac, Linux, VR Supported",150257,80,Very Positive,"Aug 15, 2013",Free to Play,,0,Free to Play,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_240_150_1,"Free to Play, World War II, Simulation, Multiplayer, War, Tanks, Flight, Military, Massively Multiplayer, Action"
Jurassic World Evolution,Win,23590,79,Mostly Positive,"Jun 11, 2018",44.99,-75,11.24,Building,https://store.steampowered.com/app/648350/Jurassic_World_Evolution/?snr=1_7_7_240_150_1,"Building, Dinosaurs, Simulation, Management, Strategy, Sandbox, Singleplayer, City Builder, Sci-fi, Economy"
The Jackbox Party Pack 3,"Win, Mac, Linux",1586,96,Overwhelmingly Positive,"Oct 17, 2016",24.99,,0,Trivia,https://store.steampowered.com/app/434170/The_Jackbox_Party_Pack_3/?snr=1_7_7_240_150_1,"Trivia, Local Multiplayer, Casual, Funny, Board Game, Multiplayer, Indie, Strategy, Comedy, Family Friendly"
Age of Empires II: Definitive Edition,Win,35177,91,Very Positive,"Nov 14, 2019",19.99,,0,Strategy,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, Multiplayer, Historical, City Builder, Singleplayer, Medieval, Classic, Masterpiece, Base Building"
Sid Meier's Civilization® VI: Gathering Storm,"Win, Mac, Linux",1521,72,Mostly Positive,"Feb 13, 2019",39.99,-50,19.99,Strategy,https://store.steampowered.com/app/947510/Sid_Meiers_Civilization_VI_Gathering_Storm/?snr=1_7_7_240_150_1,"Strategy, Turn-Based, Turn-Based Strategy, Grand Strategy, Multiplayer, 4X, Historical, City Builder"
RimWorld,"Win, Mac, Linux",58099,98,Overwhelmingly Positive,"Oct 17, 2018",34.99,,0,Colony Sim,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"Colony Sim, Base Building, Survival, Strategy, Sandbox, Management, Building, Simulation, Singleplayer, Open World"
